id	altId	text	strongs	gloss	gloss2	lemma	pos	morph
n40001001001	Βίβλος-1	Βίβλος	G0976	[The] book	book	βίβλος	noun	N-NSF
n40001001002	γενέσεως-1	γενέσεως	G1078	of [the] genealogy	genealogy	γένεσις	noun	N-GSF
n40001001003	Ἰησοῦ-1	Ἰησοῦ	G2424	of Jesus	Jesus	Ἰησοῦς	noun	N-GSM
n40001001004	χριστοῦ-1	χριστοῦ	G5547	Christ	Christ	Χριστός	noun	N-GSM
n40001001005	υἱοῦ-1	υἱοῦ	G5207	son	son	υἱός	noun	N-GSM
n40001001006	Δαυὶδ-1	Δαυὶδ	G1138	of David	David	Δαυίδ	noun	N-PRI
n40001001007	υἱοῦ-2	υἱοῦ	G5207	son	son	υἱός	noun	N-GSM
n40001001008	Ἀβραάμ-1	Ἀβραάμ	G0011	of Abraham	Abraham	Ἀβραάμ	noun	N-PRI
n40001002001	Ἀβραὰμ-1	Ἀβραὰμ	G0011	Abraham	Abraham	Ἀβραάμ	noun	N-PRI
n40001002002	ἐγέννησεν-1	ἐγέννησεν	G1080	begat	fathered	γεννάω	verb	V-AAI-3S
n40001002003	τὸν-1	τὸν	G3588	-		ὁ	det	T-ASM
n40001002004	Ἰσαάκ-1	Ἰσαάκ	G2464	Isaac	Isaac	Ἰσαάκ	noun	N-PRI
n40001002005	Ἰσαὰκ-1	Ἰσαὰκ	G2464	Isaac	Isaac	Ἰσαάκ	noun	N-PRI
n40001002006	δὲ-1	δὲ	G1161	then	and	δέ	conj	CONJ
n40001002007	ἐγέννησεν-2	ἐγέννησεν	G1080	begat	fathered	γεννάω	verb	V-AAI-3S
n40001002008	τὸν-2	τὸν	G3588	-		ὁ	det	T-ASM
n40001002009	Ἰακώβ-1	Ἰακώβ	G2384	Jacob	Jacob	Ἰακώβ	noun	N-PRI
n40001002010	Ἰακὼβ-1	Ἰακὼβ	G2384	Jacob	Jacob	Ἰακώβ	noun	N-PRI
n40001002011	δὲ-2	δὲ	G1161	then	and	δέ	conj	CONJ
n40001002012	ἐγέννησεν-3	ἐγέννησεν	G1080	begat	fathered	γεννάω	verb	V-AAI-3S
n40001002013	τὸν-3	τὸν	G3588	-		ὁ	det	T-ASM
n40001002014	Ἰούδαν-1	Ἰούδαν	G2455	Judah	Judah	Ἰούδας	noun	N-ASM
n40001002015	καὶ-1	καὶ	G2532	and	and	καί	conj	CONJ
n40001002016	τοὺς-1	τοὺς	G3588	the	the	ὁ	det	T-APM
n40001002017	ἀδελφοὺς-1	ἀδελφοὺς	G0080	brothers	brothers	ἀδελφός	noun	N-APM
